"Kallesignal","Type","QTH","Freq TX","Freq RX","Gruppe","Lokator","Info","status"
"LA8VRR","Crossband link","Storfjell","144.6500","433.0250","Mosjøen","JP65OT","1750",""
"LA8WR","FM Repeater","Kattnakken","434.6250","432.6250","Haugaland/Sunnhordland","JO29RU","123","QRT"
"LA8XR","FM/DMR Repeater","Reinsnuten","145.7375","145.1375","STF Sauda","JO39GK","91.5",""
"LA8XRR","Crossband link","Bodøgruppen","145.2250","433.1500","Bodø","JP77FH","",""
"LA8YR","FM Repeaterlink","Reinsnuten","432.8000","434.8000","STF Sauda","JO39FO","CCIR",""
"LA8ZR","FM/DMR Repeater","Andsfjell","434.6500","432.6500","Midt-Troms","JP99GC","123/ID: 242920",""
"LA9AR","FM Repeater","Tronfjell","145.6000","145.0000","Innlandsnettet","JP52IE","88.5",""
"LA9ARR","FM Repeater","Algasvarre / Tana","145.6000","145.0000","Kirkenes","KQ40CL","",""
"LA9BR","FM/C4FM","Bremanger/Steinfjellet","145.6750","145.0750","Måløy","JP21MU","123",""
"LA9BRR","FM Repeater","Bufjellet","145.7125","145.1125","Harstad","JP88IO","",""
"LA9CR","FM Repeater","Storåsen","145.6250","145.0250","Florø","JP21MO","82.5",""
"LA9DR","FM Repeater","Nordbykollen","434.7250","432.7250","Drammen","JO59CR","74.4",""
"LA9ER","FM Repeater","Mistberget","145.7375","145.1375","Gardermoen","JP50NJ","1750/123",""
"LA9ERR","Crossband link","Evenskjer","145.2500","433.2000","ORF","JP88GN","88.5",""
"LA9FR","FM Repeater","Tuva","145.7750","145.1750","Fauske","JP77QG","88.5",""
"LA9FRR","FM Repeater","Andsfjell","145.6125","145.0125","Midt-Troms","JP99GC","123",""
"LA9GR","FM Repeater","Veten","434.6250","432.6250","Mo i Rana","JP66UE","88.5/Echo 317411",""
"LA9HR","FM Repeater","Samaåsen","145.7000","145.1000","Harstad","JP88GT","123",""
"LA9HRR","FM/DMR Repeater","Algas","434.8000","432.8000","Alta","KQ10LC","91.5/ID: 242911",""
"LA9IR","FM Repeaterlink","Inste Tinden","432.8000","434.8000","STF Sauda","JO39HT","CCIR",""
"LA9JR","Crossband link","Jønnbuflåtin/Bø","145.0500","144.6750","Notodden","JO49ML","74.4/433.0750",""
"LA9KR","FM Repeater","Vestre Håland","145.6125","145.0125","Kristiansand","JO38RB","QRT",""
"LA9KRR","FM Repeater","Krøttøya","434.7375","432.7375","Harstad","JP89GB","",""
"LA9LR","FM/DMR Repeater","Ravnafjell","145.7000","145.1000","STF Sauda","JO39CO","91.5 / ID: 242302",""
"LA9LRR","FM Repeater","Falsnes/Storfjord","434.7500","432.7500","Tromsø","KP09CJ","91.5",""
"LA9MR","FM Repeater","Varmestø","145.6750","145.0750","Mandal","JO38RC","1750",""
"LA9MRR","FM Repeater","Medkilheia","145.7875","145.1875","Harstad","JP88GS","",""
"LA9NR","FM Repeater","Frodeåsen","434.9500","432.9500","Tønsberg","JO59EG","74.4",""
"LA9NRR","FM Repeater","","0.0000","0.0000","Midt-Troms","","",""
"LA9PR","Crossband link","Kjortåsen","144.6500","434.9875","Ryfylke","JO29XB","QRT 94.8","QRT"
"LA9QR","FM Repeater","Kjølen/Kvaløya","434.7250","432.7250","Tromsø","JP99JR","123",""
"LA9RR","FM Repeater","Ombo","145.6000","145.0000","Ryfylke","JO39AG","1750/123",""
"LA9SR","FM Repeater","Gurskøy","145.7250","145.1250","Søre Sunnmøre","JP22VG","1750/82.5",""
"LA9TR","FM Repeater","Trolltind/Arnøya","145.6250","145.0250","Tromsø","KQ00FB","123",""
"LA9UR","FM Repeater","Ruasetfjellet","145.7875","145.1875","Fosen","JP43VR","1750",""
"LA9WR","FM Repeater","Geitfjellet","145.6000","145.0000","Namdal","JP64CJ","123",""
"LA9XRR","FM Repeater","Heggedal","434.9750","432.9750","LA1TRF","JO59ES","123",""
"LA9YR","FM Repeater","Reinsnuten","434.8000","432.8000","STF Sauda","JO39GK","91.5",""
"LA9YRR","FM Repeater","Elvebakken","145.6000","145.0000","Alta","KP19QX","QRT 1750/91.5","QRT"
"LA9ZR","FM Repeater","Andsfjell","145.7250","145.1250","Midt-Troms","JP99GC","1750/123",""
"LA9ZRR","FM Repeater","Midt-Troms portabel","434.6000","432.6000","Midt-Troms","NA","",""
"LD1BK","APRS","Kolsås/Bærum","144.8000","144.8000","Asker og Bærum","JO59GW","",""
"LD1FA","APRS","Barbertoppen","144.8000","144.8000","Fredrikstad","JO59LF","",""
