"Kallesignal","Type","QTH","Freq TX","Freq RX","Gruppe","Lokator","Info","status"
"LD6LF","APRS","Ørskog/Lebergsfjellet","144.8000","144.8000","Ålesund","JP32KM","",""
"LD6MD","APRS","Molde/Tussen","144.8000","144.8000","Molde","JP32PS","",""
"LD6NT","APRS","Nerlandsøy/Teigetua","144.8000","144.8000","Søre Sunnmøre","JP22TI","",""
"LD6RF","APRS","Reinsfjell","144.8000","144.8000","Kristiansund","JP32XW","",""
"LD6SA","APRS","Sagtennene","144.8000","144.8000","Firda","JP31BV","",""
"LD6SB","APRS","Svinberget","144.8000","144.8000","Molde","JP42FR","",""
"LD6SD","APRS","Sunnylven","144.8000","144.8000","Ålesund","JP32MI","",""
"LD6SG","APRS","Sunndalen/Grøvllægdin","144.8000","144.8000","Molde","JP42KO","",""
"LD6SH","APRS","Spjelkavik/Høgelia","144.8000","144.8000","Ålesund","JP32EK","QRT","QRT"
"LD6SO","APRS","Sogndal/Storehogen","144.8000","144.8000","Firda","JP31NE","",""
"LD6ST","APRS","Stryn/Svarstadveten","144.8000","144.8000","Firda","JP31HV","QRT","QRT"
"LD6VS","APRS","Volda/Sandhornet","144.8000","144.8000","Søre Sunnmøre","JP32BD","",""
"LD7FB","APRS","Fosen/Bessakerfjorden","144.8000","144.8000","Fosen","JP54EF","",""
"LD7FF-B","DMR/DSTAR","Forbordsfjell","434.6750","432.6750","Stjørdal","JP53KM","ID242440",""
"LD7FO","APRS","Fosen/Tarva","144.8000","144.8000","Fosen","JP43QS","",""
"LD7FS","APRS","Fosen/Stadsbygd","144.8000","144.8000","Fosen","JP43XM","",""
"LD7GG","APRS","Grong/Geitfjellet","144.8000","144.8000","Namdal","JP64CJ","",""
"LD7NA","APRS","Namsos/Vattafjell","144.8000","144.8000","Namdal","JP54RL","",""
"LD7ST","APRS","Steinkjer/Offenåsen","144.8000","144.8000","Inntrøndelag","JP53SX","",""
"LD7TB","APRS","Bringen","144.8000","144.8000","Trondheim","JP53NB","",""
"LD7TD","DMR Repeater","Vassfjellet","434.7000","432.7000","Trondheim","JP53EG","ID: 242018",""
"LD7TG","APRS","Gråkallen","144.8000","144.8000","Trondheim","JP53DK","",""
"LD7TH","APRS","Litjvola/Tydal","144.8000","144.8000","Trondheim","JP53FK","",""
"LD7TL","Winlink packet","Gråkallen","433.7250","433.7250","Trondheim","JP53DK","",""
"LD7TO","APRS","Oppdal","144.8000","144.8000","Trondheim","JP42UN","",""
"LD7TR","APRS","Ruten","144.8000","144.8000","Trondheim","JP43NE","",""
"LD7TS","APRS","Støren","144.8000","144.8000","Trondheim","JP53DA","",""
"LD7TT","APRS","Tyholt","144.8000","144.8000","Trondheim","JP53FK","",""
"LD7TV","Winlink packet","Vassfjellet","144.9500","144.9500","Trondheim","JP53EG","",""
"LD7VD","APRS","Verdal","144.8000","144.8000","Inntrøndelag","JP53SU","",""
"LD7VM","DMR Repeater","Verdal/Marsteinsvola","434.6000","432.6000","Inntrøndelag","JP53SU","ID: 242444",""
"LD8AR","APRS","Andenes/Ramnan","144.8000","144.8000","Tromsø","JP89AG","QRT","QRT"
"LD8BK","APRS","Fauske/Klettkoven","144.8000","144.8000","Bodø","JP77ME","",""
"LD8BS","DMR/DSTAR","Mosheim/Brønnøysund","434.9750","432.9750","Sandnessjøen","JP65CL","ID:242906",""
"LD8DF","APRS","Dønnesfjellet/Sandnessjøen","144.8000","144.8000","Sandnessjøen","JP66GE","",""
"LD8DN-B","DSTAR Repeater","Dønnesfjellet/Sandnessjøen","433.6375","433.6375","Sandnessjøen","JP66GE","QRT","QRT"
"LD8FS","APRS","Fornesfjell","144.8000","144.8000","Fauske","JP77RK","",""
"LD8FT","DMR Repeater","Bjørnmoveien","434.9500","432.9500","Fauske","JP77RF","ID:242917",""
"LD8GS","APRS","Grane/Strendene","144.8000","144.8000","Mosjøen","JP65QK","",""
"LD8HB","APRS","Hemnes/Bleikvasslia","144.8000","144.8000","Mosjøen","JP65VU","",""
"LD8HV","APRS","Hemnes/Vettahaugen","144.8000","144.8000","Mo i Rana","JP66UE","",""
"LD8KV","APRS","Keiservarden","144.8000","144.8000","Bodø","JP77FH","IGate",""
"LD8LF","Winlink Packet","Telegrafveien","144.9250","144.9250","Fauske","JP77PF","",""
"LD8LK-B","DSTAR Repeater","Leknes","433.6375","433.6375","Vesterålen","JP68TD","",""
"LD8LR","DMR Repeater","Lødingen","434.6250","432.6250","Harstad","JP78XJ","ID:242911",""
"LD8MB","APRS","Mosjøen/Bjørnålia","144.8000","144.8000","Mosjøen","JP65PS","",""
"LD8MK","DMR Repeater","Mosjøen/Kappfjell","145.6500","145.0500","Mosjøen","JP65RH","ID: 242008",""
"LD8MM-B","DSTAR Repeater","Meløy/Ørnes","433.6875","0.0000","Bodø","JP66UV","123",""
"LD8MR","C4FM/DSTAR/DMR","Mo i Rana/Toraneset","434.8500","432.8500","Mo i Rana","JP76BH","ID: 242904",""
"LD8MV","DMR Repeater","Mosjøen/Vardefjell","434.8250","432.8250","Mosjøen","JP65OU","ID: 242902",""
"LD8NA-B","DSTAR Repeater","Narvik/Fjellheisen","434.7750","432.7750","Narvik","JP88RK","",""
"LD8NB","APRS","Narvik/Bjørnfjell","144.8000","144.8000","Narvik","JP98AK","",""
"LD8NK","APRS","Nesna/Kvassnes","144.8000","144.8000","Mo i Rana","JP66MF","",""
"LD8NN-B","C4FM/DSTAR/DMR","Nesna/Kvassnes","433.2750","433.2750","Mo i Rana","JP66MF","ID: 242905",""
"LD8NO","APRS","","144.8000","144.8000","Narvik","JP88OL","",""
"LD8NV","APRS","Narvik","144.8000","144.8000","Narvik","JP88RL","",""
"LD8RA","APRS","Andfjell","144.8000","144.8000","Mo i Rana","JP76OK","",""
"LD8RH","APRS","Rana/Hellerfjell","144.8000","144.8000","Mo i Rana","JP76FE","",""
"LD8RS","APRS","Raudtind","144.8000","144.8000","Fauske","JP77RF","",""
"LD8SA","DMR Repeater","Høgåsen/Sandnessjøen","434.8000","432.8000","Sandnessjøen","JP66HA","ID: 242903",""
"LD8SH","APRS","Sulitjelma/Hanken","144.8000","144.8000","Bodø","JP87BD","",""
"LD8SH","APRS","Hanken, Sulitjelma","144.8000","144.8000","Fauske","","",""
"LD8SS","APRS","Høgåsen/Sandnessjøen","144.8000","144.8000","Sandnessjøen","JP66HA","",""
"LD8TB","APRS","Tysfjord/Bognesveten","144.8000","144.8000","Harstad","JP88AF","QRT","QRT"
"LD8VR","DMR Repeater","Sortland","434.6750","432.6750","Vesterålen","JP78QQ","",""
"LD9AB","Winlink Packet","Andfjellbruna","144.9250","144.9250","Midt-Troms","JP99GD","Winlink",""
"LD9AD","FM/DMR Repeater","Algas","434.8000","432.8000","Alta","KQ10LC","QRT ID:242918","QRT"
"LD9AF","APRS","Andsfjell","144.8000","144.8000","Midt-Troms","JP99GD","",""
"LD9AH","DMR Repeater","Hasvik/Sørøya","145.7375","145.1375","Alta","KQ10BL","QRT",""
"LD9AT","APRS","Kråknes","144.8000","144.8000","Alta","KQ10NA","",""
"LD9AV","APRS","Altevann/Slåttmoberget","144.8000","144.8000","Midt-Troms","JP98OI","",""
"LD9BA","APRS","Varhaugen/Balsfjord","144.8000","144.8000","Midt-Troms","JP99QF","",""
"LD9BK","APRS","Bjarkøy/Krøttøykollen","144.8000","144.8000","Harstad","JP89GB","",""
"LD9DM","APRS","Domen/Vardø","144.8000","144.8000","Kirkenes","KQ50NH","",""
"LD9HA","APRS","Maistua","144.8000","144.8000","Harstad","JP88GS","",""
"LD9HB","BPQ32 Link","Maistua","70.3125","70.3125","Harstad","JP88GS","",""
"LD9HH","APRS","Heggenkollen","144.8000","144.8000","Harstad","JP88GS","",""
"LD9HK","APRS","Kvæfjord","144.8000","144.8000","Harstad","JP88CS","",""
"LD9HM","DMR Repeater","Maistua","434.8000","432.8000","Harstad","JP88GS","",""
"LD9HN","APRS","Hammerfest","144.8000","144.8000","Nordkapp","KQ10UQ","",""
"LD9HO","APRS","Sollifjell","144.8000","144.8000","Harstad","JP88ET","",""
"LD9HR","DMR Repeater","Samaåsen","434.6750","432.6750","Harstad","JP88GT","ID:242910",""
"LD9HS","APRS","Hasvik/Sørøya","144.8000","144.8000","Alta","KQ10BL","",""
"LD9HT","BPQ32 Link","Nattmålstind/Senja","70.3125","70.3125","Harstad","JP89UH","",""
"LD9KA","APRS","Kautokeino","144.8000","144.8000","Alta","KP19MA","",""
"LD9KB","DMR Repeater","Kvæfjord","434.9750","432.9750","Harstad","JP88BS","ID:242913",""
"LD9KK","APRS","Kvæfjord/Kveøy","144.8000","144.8000","Harstad","JP88BS","",""
"LD9KR","APRS","Kautokeino","144.8000","144.8000","Alta","KP19MA","",""
"LD9KS","APRS","Stuorra","144.8000","144.8000","Alta","KQ20SI","",""
"LD9LY","APRS","Årøybukt/Lyngen","144.8000","144.8000","Tromsø","KP09DP","",""
"LD9MB","BPQ32 Link","Andsfjell","70.3125","70.3125","Harstad","JP99GD","",""
"LD9MM","DMR Repeater","Setermoen","434.6125","432.6125","Midt-Troms","JP98FV","QRT","planlagt"
"LD9MS","DMR Repeater","Spansdalen","434.6375","432.6375","Midt-Troms","JP88WR","QRT","planlagt"
"LD9NG","APRS","Gratangen","144.8000","144.8000","Narvik","JP88VP","",""
"LD9NK","APRS","Honningsvågfjell","144.8000","144.8000","Nordkapp","KQ20WX","",""
"LD9PS","APRS","Porsanger/Sandviktoppen","144.8000","144.8000","Nordkapp","KQ20OH","Planlagt",""
"LD9SH","APRS","Storeheia/Hadsel","144.8000","144.8000","Vesterålen","JP78OM","",""
"LD9SJ","APRS","Nattmålstind/Senja","144.8000","144.8000","Midt-Troms","JP89UH","",""
"LD9SK","APRS","Bertelfjell/Sørkjosen","144.8000","144.8000","Tromsø","KP09KT","",""
"LD9SM","APRS","Holtet/Setermoen","144.8000","144.8000","Midt-Troms","JP98BQ","",""
"LD9SV","APRS","Skrova","144.8000","144.8000","Harstad","JP78HE","",""
"LD9TB","BPQ32 Link","Tromsø","70.3125","70.3125","Harstad","JP99LP","",""
"LD9TD","APRS","Fjellheisen","144.8000","144.8000","Tromsø","JP99LP","",""
"LD9TF","APRS","Furuflaten","144.8000","144.8000","Tromsø","KP09BK","",""
"LD9TK","APRS","Kjølen","144.8000","144.8000","Tromsø","JP99JR","",""
"LD9TN-B","DMR Repeater","Fløyfjellet","434.8000","432.8000","Tromsø","JP99MP","ID: 242922","0"
"LD9TT","APRS","Tønsnes","144.8000","144.8000","Tromsø","JP99NR","",""
"LD9TU","APRS","Ullsneshaugen/Lyngen","144.8000","144.8000","Tromsø","JP99VQ","",""
"LD9VG","APRS","Hesseng/Verigas","144.8000","144.8000","Kirkenes","KP49WR","",""
"LD9VN","APRS","Vannøy/Kvalkjeften","144.8000","144.8000","Tromsø","JQ90UE","",""
