call_sign,owner,address,maidenhead,tx,rx,ctcss,service,status,note
LA6KR,LA9K,"Hesteheia, Kristiansand",JO38wf,145.750,145.150,123.0 Hz,FM_NARROW,QRV,maidenhead by trygvis
LA4ARR,LA9K,"Hesteheia, Kristiansand",JO38wf,434.625,432.625,123.0 Hz,FM_NARROW,QRV,maidenhead by trygvis
LA4ORR,LA9K,"Odderøya, Kristiansand",JO48ad,145.6125,145.0125,123.0 Hz,FM_NARROW,QRV,maidenhead by trygvis
LA6JR,LA9K,"Hovassfjell, Ose i Setesdal",JO48bh,145.600,145.000,123.0 Hz,FM_NARROW,QRV,maidenhead by trygvis
